疼痛,R529,疼痛
発熱,R509,発熱
嘔気,R11,嘔気
出血,R58,出血
糖尿病,E14,糖尿病
発赤,R21,発赤
浮腫,R609,浮腫
頭痛,R51,頭痛
貧血,D649,貧血
圧痛,R529,圧痛
肺炎,J189,肺炎
倦怠感,R53,倦怠感
脳梗塞,I639,脳梗塞
腫瘍,D489,腫瘍
脂質異常症,E785,脂質異常症
腫瘤,R229,腫瘤
低血糖,E162,低血糖
心不全,I509,心不全
２型糖尿病,E11,２型糖尿病
白内障,H269,白内障
胃癌,C169,胃癌
高血圧症,I10,高血圧症
間質性肺炎,J849,間質性肺炎
胸痛,R074,胸痛
めまい,R42,めまい
意識障害,R402,意識障害
誤嚥性肺炎,J690,誤嚥性肺炎
高脂血症,E785,高脂血症
子宮筋腫,D259,子宮筋腫
前立腺癌,C61,前立腺癌
食欲不振,R630,食欲不振
動悸,R002,動悸
下血,K921,下血
微熱,R509,微熱
関節痛,M2559,関節痛
肝障害,K769,肝障害
直腸癌,C20,直腸癌
認知症,F03,認知症
骨粗鬆症,M8199,骨粗鬆症
口内炎,K121,口内炎
嚥下障害,R13,嚥下障害
狭心症,I209,狭心症
息切れ,R060,息切れ
構音障害,R471,構音障害
食道癌,C159,食道癌
高尿酸血症,E790,高尿酸血症
虫垂炎,K37,虫垂炎
喀痰,R093,喀痰
統合失調症,F209,統合失調症
胆管炎,K830,胆管炎
下腿浮腫,R600,下腿浮腫
アレルギー,T784,アレルギー
気管支喘息,J459,気管支喘息
不整脈,I499,不整脈
発疹,R21,発疹
うつ病,F329,うつ病
肝機能障害,K769,肝機能障害
咽頭痛,J029,咽頭痛
心房細動,I48,心房細動
網膜症,H350,網膜症
呼吸困難,R060,呼吸困難
リンパ節腫大,R599,リンパ節腫大
肺癌,C349,肺癌
緑内障,H409,緑内障
胸水貯留,J90,胸水貯留
血尿,R31,血尿
逆流性食道炎,K210,逆流性食道炎
関節リウマチ,M0690,関節リウマチ
慢性胃炎,K295,慢性胃炎
腹部膨満,R14,腹部膨満
痙攣,R252,痙攣
せん妄,F059,せん妄
イレウス,K567,イレウス
悪性腫瘍,C80,悪性腫瘍
下肢浮腫,R600,下肢浮腫
血腫,T140,血腫
帯状疱疹,B029,帯状疱疹
背部痛,M5495,背部痛
薬疹,L270,薬疹
甲状腺機能低下症,E039,甲状腺機能低下症
蜂窩織炎,L039,蜂窩織炎
疲労感,R53,疲労感
胃潰瘍,K259,胃潰瘍
大腸ポリープ,K635,大腸ポリープ
褥瘡,L89,褥瘡
Ｓ状結腸癌,C187,Ｓ状結腸癌
慢性腎不全,N189,慢性腎不全
難聴,H919,難聴
骨折,T1420,骨折
大腸癌,C189,大腸癌
心筋梗塞,I219,心筋梗塞
乳癌,C509,乳癌
血便,K921,血便
意識消失,R402,意識消失
腰部脊柱管狭窄症,M4806,腰部脊柱管狭窄症
慢性心不全,I509,慢性心不全
腹膜播種,C786,腹膜播種
てんかん,G409,てんかん
虚血性心疾患,I259,虚血性心疾患
悪性リンパ腫,C859,悪性リンパ腫
消化管出血,K922,消化管出血
鼻汁,J310,鼻汁
腎不全,N19,腎不全
腎障害,N289,腎障害
湿疹,L309,湿疹
悪心,R11,悪心
リンパ節転移,C779,リンパ節転移
損傷,T149,損傷
全身倦怠感,R53,全身倦怠感
子宮体癌,C549,子宮体癌
萎縮性胃炎,K294,萎縮性胃炎
膀胱癌,C679,膀胱癌
強皮症,M349,強皮症
